OBJECTID;Id da Instalação;Modalidade de Operação;Nome;Data Prevista;Data Prevista;Data Entrada;Data Entrada;Tipo de Usina;Tipo de Usina,x,y
68;CEUEGU;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TRA_GUAJIRU                                    CE       ;29/11/2013;30/11/2013;21/11/2013;22/11/2013;UEE;Eolielétrica                  ,-39.21777800499996,-3.262222006999991
69;CEUEMU;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TRA_MUNDAU                                     CE       ;30/03/2014;31/03/2014;31/03/2014;01/04/2014;UEE;Eolielétrica                  ,-39.376389003999975,-3.186944000999972
70;CEUESC;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_SÃO CRISTOVÃO                              CE       ;29/11/2014;30/11/2014;10/11/2014;11/11/2014;UEE;Eolielétrica                  ,-39.26144400199996,-3.261444001999962
71;CEUESJ;USINA PERTENCENTE A CONJUNTO DE USINAS;USI FSA_SÃO JORGE                                  CE       ;29/11/2014;30/11/2014;10/11/2014;11/11/2014;UEE;Eolielétrica                  ,-39.25695600399996,-3.250650003999965
72;CEUETR;USINA PERTENCENTE A CONJUNTO DE USINAS;USI TRA_TRAIRI                                     CE       ;29/11/2013;30/11/2013;24/10/2013;25/10/2013;UEE;Eolielétrica                  ,-39.29027800299997,-3.221667006999951
73;CEUSCJ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI TERMOCEARA                                     CE       ;29/06/2002;30/06/2002;06/07/2002;07/07/2002;UTE;Térmica                       ,-38.87212499999998,-3.693038999999999
74;CEUTCP;USINA QUE NÃO IMPACTA A REDE DE OPERAÇÃO, MAS PARTICIPA DA PROGRAMAÇÃO DE FORMA INDIVIDUALIZADA;USI UTE COMPANHIA SIDERURGICA DO PECEM             CE       ;29/09/2016;30/09/2016;13/10/2016;14/10/2016;UTE;Térmica                       ,-38.87154700599996,-3.594755999999961
75;CEUTPC;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PORTO DE PECEM I                           CE       ;29/12/2012;30/12/2012;30/11/2012;01/12/2012;UTE;Térmica                       ,-38.875833005000004,-3.5822220000000016
76;CEUTPD;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI UTE PORTO DE PECEM II                          CE       ;29/11/2013;30/11/2013;17/10/2013;18/10/2013;UTE;Térmica                       ,-38.873889007,-3.581667005999975
77;ESMASC;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI MASCARENHAS                                    ES       ;;;20/09/1973;21/09/1973;UHE;Hidroelétrica                 ,-40.91830600099996,-19.501083001999973
78;ESRSL ;USINA CUJA OPERAÇÃO IMPACTA A REDE DE OPERAÇÃO;USI ROSAL                                          ES       ;;;29/12/1999;30/12/1999;UHE;Hidroelétrica                 ,-41.70000000299996,-20.916388906999998
